ID,numPoints,Alg,Buffer,Box,Mask,Model,mean_IOU,source_file
66,1,hill climbing,10,0.9,false,yolov8n,0.9180086361606111,results_66.json
67,1,hill climbing,15,0.9,false,yolov8n,0.9170005988797924,results_67.json
68,1,voronoi,0,0.9,false,yolov8n,0.9160122112123373,results_68.json
69,1,voronoi,5,0.9,false,yolov8n,0.9161759033205419,results_69.json
70,1,voronoi,10,0.9,false,yolov8n,0.9160683363924967,results_70.json
71,1,voronoi,15,0.9,false,yolov8n,0.9158232052674716,results_71.json
72,2,random,0,0.9,false,yolov8n,0.9189572370545074,results_72.json
73,2,random,5,0.9,false,yolov8n,0.9182548994009077,results_73.json
74,2,random,10,0.9,false,yolov8n,0.9182063305045439,results_74.json
75,2,random,15,0.9,false,yolov8n,0.9180254846243925,results_75.json
76,2,hill climbing,0,0.9,false,yolov8n,0.9282800291660553,results_76.json
77,2,hill climbing,5,0.9,false,yolov8n,0.9261722926057729,results_77.json
78,2,hill climbing,10,0.9,false,yolov8n,0.9239689655403531,results_78.json
79,2,hill climbing,15,0.9,false,yolov8n,0.9224786673572153,results_79.json
80,2,voronoi,0,0.9,false,yolov8n,0.9185224017631416,results_80.json
81,2,voronoi,5,0.9,false,yolov8n,0.9180493042562394,results_81.json
82,2,voronoi,10,0.9,false,yolov8n,0.9162017189392282,results_82.json
83,2,voronoi,15,0.9,false,yolov8n,0.9159232576839343,results_83.json
84,3,random,0,0.9,false,yolov8n,0.9201457323624732,results_84.json
85,3,random,5,0.9,false,yolov8n,0.9172165876096529,results_85.json
86,3,random,10,0.9,false,yolov8n,0.9189498509327851,results_86.json
87,3,random,15,0.9,false,yolov8n,0.9166593875147605,results_87.json
88,3,hill climbing,0,0.9,false,yolov8n,0.928356196654206,results_88.json
89,3,hill climbing,5,0.9,false,yolov8n,0.92935227002405,results_89.json
90,3,hill climbing,10,0.9,false,yolov8n,0.926393901847168,results_90.json
91,3,hill climbing,15,0.9,false,yolov8n,0.9254017795599255,results_91.json
92,3,voronoi,0,0.9,false,yolov8n,0.9225759907278661,results_92.json
93,3,voronoi,5,0.9,false,yolov8n,0.9190074631755898,results_93.json
94,3,voronoi,10,0.9,false,yolov8n,0.9180627701871942,results_94.json
95,3,voronoi,15,0.9,false,yolov8n,0.9178228898127717,results_95.json
