ID,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,sam_mask_AP@50,sam_mask_AP@75,sam_mask_AP@95,sam_mask_AP@50:95,sam_mask_AR@50,sam_mask_AR@75,sam_mask_AR@95,sam_mask_AR@50:95,ModelCategory
23,YOLOv8 Nano,True,True,1,Random,10%,100%,100%,0.8625209264878221,0.7734297888119355,0.42819763714714787,0.6880494508156352,0.7559295626253385,0.6851154103777508,0.3319509252014984,0.5909986327348625,YOLOv8n
24,YOLOv8 Nano,True,True,1,Random,10%,100%,110%,0.8626825862760296,0.7757324908328108,0.4305617958865981,0.6896589576651462,0.7562827756339061,0.6892217564397409,0.333999278368881,0.593167936814176,YOLOv8n
25,YOLOv8 Nano,True,True,1,Random,10%,110%,90%,0.8458262385636629,0.7397793607015481,0.39752445592493163,0.6610433517300476,0.7635830674283635,0.6828753889825151,0.3201692153548835,0.5888758905885874,YOLOv8n
26,YOLOv8 Nano,True,True,1,Random,10%,110%,100%,0.8528494308552628,0.766930979267195,0.39364165278958063,0.6711406876373461,0.764170037748088,0.6981583641665693,0.3205705074849711,0.5942996364665427,YOLOv8n
27,YOLOv8 Nano,True,True,1,Random,10%,110%,110%,0.8522248376867306,0.7630249362644966,0.39101867015146097,0.6687561480342294,0.7441580700370353,0.6737933058403294,0.29920557415130467,0.5723856500095564,YOLOv8n
28,YOLOv8 Nano,True,True,1,Random,15%,90%,90%,0.8638044054290924,0.7695808063642897,0.42441267186361725,0.6859326278856664,0.7755784878551323,0.6994928906749344,0.3484339905971564,0.6078351230424076,YOLOv8n
29,YOLOv8 Nano,True,True,1,Random,15%,90%,100%,0.8676561066496653,0.7892341325420734,0.4487521684677769,0.7018808025531718,0.7606567190726954,0.6957690684113922,0.35446356643565713,0.6036297846399148,YOLOv8n
30,YOLOv8 Nano,True,True,1,Random,15%,90%,110%,0.8710166762942588,0.7811330685954125,0.44151861056203734,0.6978894518172362,0.7629429378853615,0.6907771704711991,0.3500152861714977,0.6012451315093528,YOLOv8n
31,YOLOv8 Nano,True,True,1,Random,15%,100%,90%,0.859798585664371,0.7666092794875764,0.43099793535784825,0.6858019335032652,0.7677764414815605,0.6924739350494696,0.3452629745409746,0.6018377836906683,YOLOv8n
32,YOLOv8 Nano,True,True,1,Random,15%,100%,100%,0.8315927091053354,0.7500829601244593,0.43635561350841323,0.6726770942460693,0.7290012174223951,0.663974903709667,0.3415530618768118,0.5781763943362913,YOLOv8n
