ID,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,sam_mask_AP@50,sam_mask_AP@75,sam_mask_AP@95,sam_mask_AP@50:95,sam_mask_AR@50,sam_mask_AR@75,sam_mask_AR@95,sam_mask_AR@50:95,ModelCategory
279,YOLOv8 Nano,True,True,3,Distance Max,10%,110%,110%,0.8216733632859987,0.699281194471143,0.3149088059111208,0.6119544545560875,0.6665834625473559,0.5544266001516271,0.19863969578647497,0.47321658616181933,YOLOv8n
280,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,90%,0.7381008125610394,0.6213930218994381,0.3484913790220455,0.5693284044941745,0.6868797077792103,0.582333933374121,0.2803395179970668,0.5165177197167994,YOLOv8n
281,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,100%,0.770742702645145,0.6459614233009471,0.354296318994137,0.590333481646743,0.647735880177895,0.5450925656610225,0.24388210703635974,0.4789035176250924,YOLOv8n
282,YOLOv8 Nano,True,True,3,Distance Max,15%,90%,110%,0.7862696417851388,0.6742021133764088,0.3895856990093802,0.6166858180569761,0.6610576146398562,0.5708667492354113,0.2870899692117056,0.506338111028991,YOLOv8n
283,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,90%,0.742290490526992,0.6026486520222665,0.29326207172709495,0.5460670714254512,0.6536493084063695,0.5258512301846878,0.20956568048517718,0.46302207302541154,YOLOv8n
284,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,100%,0.7468746761645394,0.6149477335969953,0.28766061222472156,0.5498276739954188,0.6583508291315665,0.533658356295551,0.21125152459267713,0.4677535700065982,YOLOv8n
285,YOLOv8 Nano,True,True,3,Distance Max,15%,100%,110%,0.7031959391410801,0.5777179336118506,0.29345963339619996,0.524791168716377,0.603271954480041,0.4823196216912626,0.20504962936813068,0.4302137351798115,YOLOv8n
286,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,90%,0.6879438205891127,0.5735142160779382,0.2667553303996741,0.5094044556889082,0.6172518444446036,0.499118741271699,0.18667171446841582,0.4343474333949061,YOLOv8n
287,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,100%,0.6764698192260858,0.5743304896218155,0.284323798439315,0.5117080357624055,0.6196764316193544,0.5132478206355475,0.2125253257458103,0.44848319266690406,YOLOv8n
288,YOLOv8 Nano,True,True,3,Distance Max,15%,110%,110%,0.679320793720747,0.5660733111210461,0.25204947609516715,0.4991478603123201,0.6277796252062442,0.5123162813324197,0.18607909386867652,0.44205833346911344,YOLOv8n
289,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,90%,0.8521601220839907,0.7624508351240696,0.43040336044153416,0.6816714392165315,0.7770234990073113,0.6974080440574337,0.35100836103596605,0.6084799680335704,YOLOv8n
290,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,100%,0.8629191732698989,0.7625881891786838,0.42029704294307885,0.6819348017972205,0.7511270350230871,0.6664714746826492,0.31913601531698604,0.5789115083409074,YOLOv8n
291,YOLOv8 Nano,True,True,3,Voronoi,0%,90%,110%,0.8748627116130467,0.7632391710460618,0.4228892156248164,0.6869970327613083,0.7149553040141599,0.6220665803682723,0.2928119259649531,0.5432779367824618,YOLOv8n
292,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,90%,0.8349552409317497,0.733342967008636,0.4014740566659303,0.656590754868772,0.7543613429772397,0.6634953386667977,0.31867672732046054,0.5788444696548327,YOLOv8n
293,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,100%,0.8384708622107385,0.7246178794798005,0.3597749572752356,0.6409545663219249,0.7156187371698413,0.6204054376527007,0.2526084678423705,0.5295442142216374,YOLOv8n
294,YOLOv8 Nano,True,True,3,Voronoi,0%,100%,110%,0.826720060047745,0.7228801899216962,0.3666505426146897,0.6387502641947104,0.7621131363087932,0.6791020912269154,0.29921624799269136,0.5801438251761334,YOLOv8n
295,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,90%,0.8280445052478563,0.7108108846431213,0.36099667569691574,0.6332840218626311,0.7143674503524363,0.6165027065143206,0.2627966388575527,0.5312222652414366,YOLOv8n
296,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,100%,0.8610083499070157,0.7539855781972219,0.40422119809959495,0.6730717087346109,0.7490559359554919,0.6590394793870844,0.303110372247309,0.5704019291966284,YOLOv8n
297,YOLOv8 Nano,True,True,3,Voronoi,0%,110%,110%,0.8546799238392944,0.7374177864240319,0.3591067364397334,0.6504014822343531,0.7292467948976181,0.6264134672985031,0.25467363111908536,0.5367779644384022,YOLOv8n
298,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,90%,0.8424232202382369,0.7342866381436378,0.3526031391252078,0.6431043325023609,0.7564517562350555,0.6638097762319963,0.288405118126558,0.5695555501978699,YOLOv8n
299,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,100%,0.8944154977572166,0.8027161476100478,0.4616734632138792,0.7196017028603812,0.7516169250130177,0.67460058452924,0.3385704617901442,0.5882626571108006,YOLOv8n
300,YOLOv8 Nano,True,True,3,Voronoi,5%,90%,110%,0.8652347333489647,0.7701397750246335,0.43242192961374715,0.6892654793291151,0.7260749781027862,0.6454403977371327,0.31558260801782506,0.5623659946192481,YOLOv8n
301,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,90%,0.8564222290394177,0.744197800204744,0.4153542545200638,0.6719914279214085,0.7427491197677135,0.652334994727638,0.31666034814722543,0.5705814875475257,YOLOv8n
302,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,100%,0.8590341489833857,0.7401863879740135,0.4065064874722839,0.6685756748098944,0.7332647152393975,0.6326560531022674,0.3003313982989881,0.5554173888802176,YOLOv8n
303,YOLOv8 Nano,True,True,3,Voronoi,5%,100%,110%,0.8590673935760353,0.7537155396458497,0.4327141081128545,0.6818323471115799,0.74119957359234,0.6557133919380791,0.328571406248872,0.5751614572597636,YOLOv8n
304,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,90%,0.7929412572046874,0.6686289911708774,0.29440686528481913,0.5853257045534613,0.7065066015262874,0.6025504974829125,0.19772488711857908,0.502260662042593,YOLOv8n
305,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,100%,0.843168038723472,0.7238752692493097,0.3825515336274287,0.6498649472000702,0.7181882642433176,0.6239368308230614,0.2787344775756138,0.5402865242139976,YOLOv8n
306,YOLOv8 Nano,True,True,3,Voronoi,5%,110%,110%,0.8214642139481602,0.7105691630871567,0.34685703566356424,0.6262968042329604,0.7675035742759554,0.6703977032974581,0.2861033154837507,0.5746681976857214,YOLOv8n
307,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,90%,0.8672354737729377,0.7832999391091966,0.41873842770001624,0.6897579468607168,0.7696223030794882,0.6993817158215381,0.33495874382564145,0.6013209209088892,YOLOv8n
308,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,100%,0.8434801882268519,0.7549828793547317,0.38182728448188263,0.6600967840211552,0.7915688621238309,0.7133622187858226,0.32712036320614296,0.6106838147052654,YOLOv8n
309,YOLOv8 Nano,True,True,3,Voronoi,10%,90%,110%,0.8541060021409655,0.7637566967795152,0.4148375232589397,0.6775667407264735,0.7552351818208553,0.6781002786322986,0.32613191466134306,0.5864891250381656,YOLOv8n
310,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,90%,0.8711265224358592,0.7624233703863227,0.4087159537792963,0.6807552822004928,0.7366116799422412,0.6434528753817654,0.28873834497617196,0.5562676334333929,YOLOv8n
311,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,100%,0.86165659421165,0.7301745066889193,0.39067141857406534,0.6608341731582115,0.7363766775048103,0.6305184846002435,0.27262862059166554,0.5465079275655731,YOLOv8n
312,YOLOv8 Nano,True,True,3,Voronoi,10%,100%,110%,0.8551124064234443,0.7263061666402909,0.3863886191182787,0.6559357307273381,0.7737991098630034,0.6642670192730398,0.3127895229022596,0.5836185506794341,YOLOv8n
313,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,90%,0.8313194229024854,0.7189484770986533,0.35516859624924246,0.6351454987501272,0.754025266704762,0.6604072187023667,0.2803548454667128,0.5649291102912805,YOLOv8n
314,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,100%,0.8201845151540322,0.6924892284222919,0.3330870899237547,0.6152536111666929,0.7347142043185441,0.6277309492145485,0.2537353870395025,0.5387268468575317,YOLOv8n
315,YOLOv8 Nano,True,True,3,Voronoi,10%,110%,110%,0.829864408329177,0.7140363091852205,0.37060966121842287,0.6381701262442734,0.7286006061140895,0.6332729874069604,0.2747626327619881,0.5455454087610127,YOLOv8n
316,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,90%,0.8738254393770049,0.780537754802759,0.43434933237914364,0.6962375088529692,0.752246765512977,0.6721623902814232,0.3261992394281841,0.5835361317408614,YOLOv8n
317,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,100%,0.8552918077107573,0.7783901157058746,0.39549612689569014,0.6763926834374406,0.7759491156038776,0.7126281355980564,0.323633509350321,0.6040702535174183,YOLOv8n
318,YOLOv8 Nano,True,True,3,Voronoi,15%,90%,110%,0.8614799776037884,0.7773862663857971,0.4224949294906511,0.6871203911600788,0.7288966002611783,0.6601017016842017,0.3073727165116407,0.5654570061523403,YOLOv8n
319,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,90%,0.8533297367214006,0.729226806750956,0.4111486753089202,0.6645684062604257,0.7668923492592584,0.666287917908347,0.3220849916338514,0.5850884196004856,YOLOv8n
320,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,100%,0.8709733425117697,0.7535676924431931,0.4191745202446389,0.6812385183998672,0.7454527405700592,0.6511837959843985,0.30986021301187494,0.5688322498554441,YOLOv8n
321,YOLOv8 Nano,True,True,3,Voronoi,15%,100%,110%,0.8548299970407723,0.7427656794864447,0.40750430137515714,0.6683666593007914,0.7445541948943921,0.6547591415564876,0.3070430814149737,0.5687854726219511,YOLOv8n
322,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,90%,0.81515163404466,0.6987722287877809,0.33037465068821925,0.6147661711735534,0.7471669003582995,0.649227844917652,0.26583114862829205,0.5540752979680811,YOLOv8n
323,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,100%,0.8203345432348159,0.7011748916049665,0.35894804940035846,0.6268191614133803,0.7486333732566554,0.649209120403351,0.2835190050846155,0.560453832914874,YOLOv8n
324,YOLOv8 Nano,True,True,3,Voronoi,15%,110%,110%,0.8648126197729664,0.7526878739053655,0.38398951286143806,0.6671633355132567,0.7469526693719657,0.6554667058172146,0.28241619975408505,0.5616118583144218,YOLOv8n
325,YOLOv8 Nano,True,True,4,Random,0%,90%,90%,0.8729435543992234,0.7469550904684569,0.43776399849978936,0.6858875477891565,0.733475620124247,0.6289385133389016,0.31333666085716916,0.5585835981067726,YOLOv8n
326,YOLOv8 Nano,True,True,4,Random,0%,90%,100%,0.8425721899079641,0.731535909461771,0.3640367094813832,0.6460482696170395,0.7523279837986063,0.6538249781328189,0.28878115818161404,0.5649780400376797,YOLOv8n
327,YOLOv8 Nano,True,True,4,Random,0%,90%,110%,0.8464756529648498,0.7372910215163534,0.3859732264380324,0.6565799669730785,0.7510065897511875,0.6535119256808514,0.3055819183065401,0.5700334779128595,YOLOv8n
328,YOLOv8 Nano,True,True,4,Random,0%,100%,90%,0.8379881511364028,0.7218984086458958,0.37871801564913443,0.646201525143811,0.7335378799909428,0.6371263441970956,0.2753674125152368,0.548677212234425,YOLOv8n
329,YOLOv8 Nano,True,True,4,Random,0%,100%,100%,0.8525875625626774,0.7145772887365434,0.3823996316946215,0.6498548276646141,0.7565594898446597,0.638116197017467,0.29965062133927883,0.5647754360671353,YOLOv8n
330,YOLOv8 Nano,True,True,4,Random,0%,100%,110%,0.8383719036715935,0.7384595637927873,0.3910239768514546,0.6559518147719451,0.7223111622489095,0.638741159911916,0.2861861770051247,0.5490794997219834,YOLOv8n
331,YOLOv8 Nano,True,True,4,Random,0%,110%,90%,0.8055832122497311,0.6767832391366596,0.3070318897432916,0.596466113709894,0.7100497459025547,0.5980165208227527,0.22458240051797357,0.5108828890810936,YOLOv8n
332,YOLOv8 Nano,True,True,4,Random,0%,110%,100%,0.7947525111947265,0.6568736328920979,0.3117047204193977,0.5877769548354073,0.7347245111606131,0.6094063385663295,0.24359260914876485,0.5292411529585692,YOLOv8n
333,YOLOv8 Nano,True,True,4,Random,0%,110%,110%,0.766188509107462,0.6607498552039404,0.3216171688866752,0.5828518443993592,0.6673773865609585,0.5629268193545155,0.22985792385564804,0.4867207099237073,YOLOv8n
334,YOLOv8 Nano,True,True,4,Random,5%,90%,90%,0.8618284670319724,0.7451201050613468,0.42065118650540445,0.6758665861995745,0.7610277441948203,0.6641506518566882,0.3225686960228131,0.5825823640247738,YOLOv8n
335,YOLOv8 Nano,True,True,4,Random,5%,90%,100%,0.8938951051053297,0.7878516192573684,0.4734104832525967,0.7183857358717649,0.7229244035200106,0.6369251609692375,0.3270033262951818,0.5622842969281432,YOLOv8n
336,YOLOv8 Nano,True,True,4,Random,5%,90%,110%,0.8396058291835581,0.7341431085285627,0.3929237382621271,0.6555575586580827,0.7397068160917729,0.6470809971600063,0.3025996251273475,0.5631291461263757,YOLOv8n
337,YOLOv8 Nano,True,True,4,Random,5%,100%,90%,0.8460708853771886,0.7287501769649306,0.3930282259998274,0.6559497627806489,0.7408617214059111,0.6421191720584659,0.2974828231585128,0.56015457220763,YOLOv8n
338,YOLOv8 Nano,True,True,4,Random,5%,100%,100%,0.839469574885085,0.7148675223032186,0.37013909096753583,0.6414920627186131,0.7403277000737223,0.6310549979540665,0.277271213383269,0.5495513038036859,YOLOv8n
339,YOLOv8 Nano,True,True,4,Random,5%,100%,110%,0.85256459792419,0.7243366932128886,0.4244233485298943,0.6671082132223243,0.7082748339040807,0.5912434500650339,0.29671574209066043,0.5320780086865916,YOLOv8n
340,YOLOv8 Nano,True,True,4,Random,5%,110%,90%,0.7118730392496115,0.5857044759769865,0.2638642488074889,0.5204805880113623,0.6531376344437384,0.5323460087547547,0.19283719530124896,0.45944027949991406,YOLOv8n
341,YOLOv8 Nano,True,True,4,Random,5%,110%,100%,0.8057232712731424,0.6648453328128776,0.341758360636017,0.604108988240679,0.7251556963899661,0.5906415816357464,0.24964676804209146,0.5218146820226014,YOLOv8n
342,YOLOv8 Nano,True,True,4,Random,5%,110%,110%,0.7915388592595307,0.6789702398470506,0.31839304520317663,0.5963007147699194,0.7021218478361311,0.5925397348769821,0.23310223435774774,0.5092546056902869,YOLOv8n
343,YOLOv8 Nano,True,True,4,Random,10%,90%,90%,0.8488670122506518,0.7317124139393548,0.38820500673525,0.6562614776417521,0.7479138303421472,0.6474211629778893,0.29982763130317325,0.5650542082077368,YOLOv8n
344,YOLOv8 Nano,True,True,4,Random,10%,90%,100%,0.8655296349349081,0.7620698244089108,0.4172361914082352,0.681611883584018,0.7295939358599371,0.6434192708331136,0.3012167448485588,0.5580766505138698,YOLOv8n
345,YOLOv8 Nano,True,True,4,Random,10%,90%,110%,0.8731418854395812,0.7735737451490211,0.4292306598180587,0.6919820968022203,0.7482263916339259,0.6642888871571535,0.31609808623479296,0.576204455008624,YOLOv8n
346,YOLOv8 Nano,True,True,4,Random,10%,100%,90%,0.8259431788581896,0.7097812159058126,0.36573819928295487,0.633820864682319,0.721152153173234,0.6213479611168226,0.2609533476653636,0.5344844873184732,YOLOv8n
347,YOLOv8 Nano,True,True,4,Random,10%,100%,100%,0.8569142226966832,0.7402915458316796,0.38485019323441355,0.6606853205875922,0.7324442597692926,0.6341896489423668,0.2759767232030315,0.547536877304897,YOLOv8n
348,YOLOv8 Nano,True,True,4,Random,10%,100%,110%,0.872891949923121,0.7661657787526396,0.40630384885153187,0.6817871925090975,0.7494779340228358,0.6509254662543987,0.29554403152983805,0.5653158106023576,YOLOv8n
349,YOLOv8 Nano,True,True,4,Random,10%,110%,90%,0.824986150372632,0.696703430277474,0.34090082394054627,0.620863468196884,0.7608937704761424,0.6483049364330158,0.27508441419854257,0.5614277070359003,YOLOv8n
350,YOLOv8 Nano,True,True,4,Random,10%,110%,100%,0.8146626426262858,0.6865750528408564,0.3279390390954739,0.6097255781875387,0.7305932276341056,0.6195626726646672,0.24056212217196413,0.530239340823579,YOLOv8n
351,YOLOv8 Nano,True,True,4,Random,10%,110%,110%,0.8111542443060412,0.6961261939185187,0.33265933537684556,0.6133132578671352,0.7106244557240715,0.6077900625018885,0.23670336315863047,0.5183726271281969,YOLOv8n
352,YOLOv8 Nano,True,True,4,Random,15%,90%,90%,0.852118429694115,0.7418638667084501,0.41987021077460385,0.6712841690590563,0.7403170357147677,0.6470468298691495,0.31994613663929355,0.5691033340744036,YOLOv8n
353,YOLOv8 Nano,True,True,4,Random,15%,90%,100%,0.8459864166841092,0.7409036470049917,0.3982227610992258,0.6617042749294423,0.7561594268417763,0.6682508548938633,0.3106745500927704,0.5783616106094701,YOLOv8n
354,YOLOv8 Nano,True,True,4,Random,15%,90%,110%,0.8638762672737063,0.7615065578965557,0.41991402899481284,0.6817656180550248,0.7476248840253492,0.6565482718213936,0.31964600375907876,0.5746063865352738,YOLOv8n
355,YOLOv8 Nano,True,True,4,Random,15%,100%,90%,0.837319716398346,0.7282352996631285,0.38459725215429086,0.6500507560719219,0.7466699578879245,0.6548024486618796,0.2961355495619567,0.5658693187039203,YOLOv8n
356,YOLOv8 Nano,True,True,4,Random,15%,100%,100%,0.8488348343688906,0.7334522093260003,0.37456832167127774,0.6522851217887229,0.7509086281251611,0.6561278607756195,0.28692031112916877,0.5646522666766498,YOLOv8n
357,YOLOv8 Nano,True,True,4,Random,15%,100%,110%,0.840570469707105,0.730340960759673,0.3993570757357896,0.6567561687341893,0.7317004506268059,0.6401080412029722,0.29632261788803255,0.5560437032392701,YOLOv8n
358,YOLOv8 Nano,True,True,4,Random,15%,110%,90%,0.8197096696338063,0.6974772598363748,0.33960096660203576,0.6189292986907389,0.7490911054270111,0.6424841617922542,0.25930586098344544,0.5502937094009035,YOLOv8n
359,YOLOv8 Nano,True,True,4,Random,15%,110%,100%,0.8360527295474783,0.7195617596175158,0.386436812733594,0.6473504339661961,0.7168401235176503,0.6178428167756949,0.2729780018763085,0.5358869807232179,YOLOv8n
360,YOLOv8 Nano,True,True,4,Random,15%,110%,110%,0.8403720853426249,0.7068981265001363,0.37988729824360595,0.6423858366954557,0.7191003434681262,0.6086209577638169,0.2680003224518884,0.5319072078946105,YOLOv8n
361,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,90%,0.8189294359782225,0.6516829891608692,0.25917597967635414,0.5765961349384819,0.7228329329470642,0.5640669329737186,0.17753129849776203,0.48814372147284824,YOLOv8n
362,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,100%,0.813271023420388,0.6334818393425218,0.24385590540535296,0.5635362560560875,0.7006214966012412,0.5363826170286192,0.16142172295220858,0.4661419455273563,YOLOv8n
363,YOLOv8 Nano,True,True,4,Distance Max,0%,90%,110%,0.8110996365169237,0.6508064724412939,0.2557103393685457,0.5725388161089211,0.7235736142522451,0.5700713343100101,0.18310573597373314,0.4922502281786628,YOLOv8n
364,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,90%,0.7888059427875334,0.5754349378324287,0.19203669853208266,0.5187591930506815,0.6667361280697277,0.4719378298840734,0.10982763252419224,0.41616719682599773,YOLOv8n
365,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,100%,0.7647139448821394,0.5537630626604517,0.17500071306135917,0.49782590686798345,0.67658513373405,0.47623544270398543,0.10820971768209801,0.4203434313733778,YOLOv8n
366,YOLOv8 Nano,True,True,4,Distance Max,0%,100%,110%,0.8088104768517669,0.6101884573072276,0.19450178660659004,0.537833573588528,0.6827407216629002,0.48912169780826836,0.10548013706085017,0.4257808521773396,YOLOv8n
367,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,90%,0.7146707958154148,0.44218175846875796,0.12399251726040411,0.4269483571815257,0.6219097684714101,0.3830220547254724,0.04148831539710116,0.3488067128646612,YOLOv8n
368,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,100%,0.7050365355730853,0.44567716643421873,0.10275579967557483,0.4178231672276263,0.6532234902202539,0.4215816717541561,0.05531284442881511,0.37670600213440836,YOLOv8n
369,YOLOv8 Nano,True,True,4,Distance Max,0%,110%,110%,0.7259893950092231,0.46978524200059346,0.1270618329087645,0.4409454899728604,0.6387259142371502,0.41423608723765554,0.05700024388757221,0.3699874151207926,YOLOv8n
370,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,90%,0.8248989732664203,0.6791818187318065,0.31196937625744336,0.6053500560852234,0.7326651870074569,0.6038948342213012,0.2409713398989847,0.525843787042581,YOLOv8n
371,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,100%,0.8166696992216466,0.6651433276951938,0.3002445003344695,0.5940191757504365,0.7377380764598818,0.5997786692389688,0.23456880444348194,0.5240285167141108,YOLOv8n
372,YOLOv8 Nano,True,True,4,Distance Max,5%,90%,110%,0.8508531580943288,0.6943386010758394,0.3330601079141099,0.6260839556947594,0.7102592080542791,0.5693987671375417,0.21175513018495015,0.49713770179225697,YOLOv8n
373,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,90%,0.792584795699119,0.6394970289432752,0.27058385629004766,0.5675552269774806,0.6692020667415723,0.5313051648394582,0.18244970368108712,0.46098564508737255,YOLOv8n
374,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,100%,0.7938719118669693,0.6402438972336103,0.2739249957292806,0.5693469349432867,0.6819169835679834,0.5431721392240625,0.19315401092920761,0.4727477112404177,YOLOv8n
375,YOLOv8 Nano,True,True,4,Distance Max,5%,100%,110%,0.7826988235980675,0.6210865396662858,0.26703825437133544,0.5569412058785629,0.6920234826550936,0.5460843486610397,0.1988262653665756,0.4789780322275695,YOLOv8n
376,YOLOv8 Nano,True,True,4,Distance Max,5%,110%,90%,0.7788157881224952,0.5999644978055055,0.2258523832559566,0.5348775563946524,0.669292675436243,0.503348224904937,0.14382780167570883,0.4388229006722963,YOLOv8n
377,YOLOv8 Nano,True,True,4,Distance Max,5%,110%,100%,0.7763616817051505,0.6043686003800703,0.21780428709640146,0.532844856393874,0.6651534211065538,0.5095104677848963,0.1469519834704167,0.4405386241206222,YOLOv8n
378,YOLOv8 Nano,True,True,4,Distance Max,5%,110%,110%,0.7618885398596283,0.578170159503549,0.2058195805944128,0.5152927599858634,0.6643338842226694,0.4952381069060333,0.1391026582875184,0.432891549805407,YOLOv8n
379,YOLOv8 Nano,True,True,4,Distance Max,10%,90%,90%,0.8112777977246196,0.6976603023813431,0.3536198152188085,0.6208526384415904,0.7012117120237,0.6028959734911419,0.2573199507268827,0.5204758787472414,YOLOv8n
380,YOLOv8 Nano,True,True,4,Distance Max,10%,90%,100%,0.8168982539626378,0.7040493175724428,0.3552326300760798,0.6253934005370535,0.7079450929606144,0.6073889062329504,0.25662598774779755,0.5239866623137874,YOLOv8n
381,YOLOv8 Nano,True,True,4,Distance Max,10%,90%,110%,0.8107572298299189,0.6885661726458223,0.3435770740120688,0.6143001588292699,0.6940000294193107,0.5866168874710652,0.23555015776597996,0.5053890248854519,YOLOv8n
382,YOLOv8 Nano,True,True,4,Distance Max,10%,100%,90%,0.8011074919961955,0.6618320281909691,0.26816755769004935,0.5770356926257381,0.6765998594834027,0.5600358539269156,0.17431187062500786,0.4703158613451088,YOLOv8n
383,YOLOv8 Nano,True,True,4,Distance Max,10%,100%,100%,0.7972905857221729,0.6669240072688476,0.25878929691035124,0.5743346299671238,0.7086164539999973,0.5978535851418576,0.18515170805816478,0.4972072490666732,YOLOv8n
384,YOLOv8 Nano,True,True,4,Distance Max,10%,100%,110%,0.7872618066375259,0.6524370565052411,0.2733364284377946,0.5710117638601871,0.6632253770047838,0.5509239106479855,0.1818818921652407,0.46534372660600337,YOLOv8n
385,YOLOv8 Nano,True,True,4,Distance Max,10%,110%,90%,0.7519976493776985,0.6095429575951063,0.19329532158331736,0.5182786428520408,0.6731282401283109,0.550338481957339,0.12455922076680184,0.44934198095081723,YOLOv8n
386,YOLOv8 Nano,True,True,4,Distance Max,10%,110%,100%,0.7675728822721521,0.6251221471364287,0.20165552157266997,0.5314501836604169,0.6590470741074896,0.5391999272267423,0.11832678833995806,0.4388579298913966,YOLOv8n
387,YOLOv8 Nano,True,True,4,Distance Max,10%,110%,110%,0.7683448209567163,0.6335293939146494,0.21516997297860663,0.539014729283324,0.6593903252718538,0.5415946785417635,0.13635364600517458,0.4457795499395972,YOLOv8n
388,YOLOv8 Nano,True,True,4,Distance Max,15%,90%,90%,0.7310956496463477,0.6127125534361509,0.3013869925340704,0.5483983985388564,0.6562885194471113,0.5498852152392607,0.23052755036282946,0.4789004283497338,YOLOv8n
389,YOLOv8 Nano,True,True,4,Distance Max,15%,90%,100%,0.7349028837493046,0.6143565003108157,0.30102188736584323,0.5500937571419877,0.6484740934747557,0.5430504233054879,0.21956935466286978,0.4703646238143711,YOLOv8n
390,YOLOv8 Nano,True,True,4,Distance Max,15%,90%,110%,0.738755295642007,0.6218867099036538,0.3128415162392417,0.5578278405949675,0.6400128252394507,0.5378277221270924,0.22490203174630227,0.4675808597042817,YOLOv8n
391,YOLOv8 Nano,True,True,4,Distance Max,15%,100%,90%,0.727646338984603,0.588359173469993,0.2656189429180659,0.5272081517908872,0.6246302121568225,0.49937636209751923,0.17682755582842988,0.4336113766942572,YOLOv8n
392,YOLOv8 Nano,True,True,4,Distance Max,15%,100%,100%,0.7115618253602325,0.5797234854905524,0.26710759796257216,0.5194643029377857,0.6593318906099792,0.5331819472660535,0.20924032774371942,0.4672513885399174,YOLOv8n
393,YOLOv8 Nano,True,True,4,Distance Max,15%,100%,110%,0.7311554292739223,0.5984216721268838,0.2732998082318815,0.5342923032108959,0.6436788719666899,0.5236678650935607,0.19016233379003492,0.45250302361676187,YOLOv8n
394,YOLOv8 Nano,True,True,4,Distance Max,15%,110%,90%,0.7015759888223416,0.5748209403959106,0.2305864275472363,0.5023277855884962,0.6182494248628235,0.49996415116246695,0.1566992866945257,0.4249709542399387,YOLOv8n
395,YOLOv8 Nano,True,True,4,Distance Max,15%,110%,100%,0.7015759888223416,0.5748209403959106,0.23134403197541187,0.502580320397888,0.6182494248628235,0.49996415116246695,0.15784691017096078,0.42535349539875045,YOLOv8n
396,YOLOv8 Nano,True,True,4,Distance Max,15%,110%,110%,0.7018449944569347,0.5752591726422296,0.2305864275472363,0.5025635315488002,0.6185780458945696,0.5009911623457282,0.1566992866945257,0.4254228316449411,YOLOv8n
397,YOLOv8 Nano,True,True,4,Voronoi,0%,90%,90%,0.8589923720472272,0.7468279630925239,0.4051357217137762,0.6703186856178424,0.7531670329059954,0.653202907725141,0.3119626505016344,0.5727775303775904,YOLOv8n
398,YOLOv8 Nano,True,True,4,Voronoi,0%,90%,100%,0.8531110090299947,0.7408546778616468,0.3953249023584899,0.6630968630833771,0.7365940091921934,0.6411767922498951,0.29409005795000226,0.5572869531306969,YOLOv8n
399,YOLOv8 Nano,True,True,4,Voronoi,0%,90%,110%,0.8607406034906478,0.7521600010025107,0.4110450396709278,0.6746485480546953,0.7492027691534208,0.6543756320235022,0.30862563026888656,0.5707346771486032,YOLOv8n
400,YOLOv8 Nano,True,True,4,Voronoi,0%,100%,90%,0.8343745912747982,0.7261940281449524,0.40242197505318966,0.6543301981576468,0.7416630501811368,0.6488713916855998,0.30911984779635504,0.5665514298876971,YOLOv8n
